X,Y,Z,azimuth,dip,polarity,formation
4477820.538,5289806.878,815,20,64,1,Lower Chattian Coal FM
4491053.954,5290651.411,875,165,46,-1,Lower Chattian Coal FM
4491206.378,5290645.616,840,165,38,-1,Lower Chattian Coal FM
4492573.774,5290877.169,805,160,35,-1,Lower Chattian Coal FM
4497005.394,5294117.835,700,190,30,1,Lower Chattian Coal FM
4497357.566,5294078.742,685,185,28,1,Lower Chattian Coal FM
4497780.926,5294026.744,685,195,32,1,Lower Chattian Coal FM
4498239.222,5294000.561,655,195,26,1,Lower Chattian Coal FM
4498382.832,5293859.756,670,200,19,1,Lower Chattian Coal FM
4498395.359,5293902.336,615,200,23,1,Lower Chattian Coal FM
4498737.451,5293605.713,650,240,11,1,Lower Chattian Coal FM
4498871.152,5293637.26,615,250,18,1,Lower Chattian Coal FM
4499208.243,5292732.814,695,340,21,1,Lower Chattian Coal FM
4499232.015,5293305.416,620,250,22,1,Lower Chattian Coal FM
4499268.255,5293079.371,690,275,21,1,Lower Chattian Coal FM
4499278.243,5293222.02,630,260,14,1,Lower Chattian Coal FM
4499315.638,5292647.631,645,325,28,1,Lower Chattian Coal FM
4499320.716,5293064.576,680,280,22,1,Lower Chattian Coal FM
4499336.866,5292768.042,655,290,26,1,Lower Chattian Coal FM
4499381.832,5292732.79,630,290,20,1,Lower Chattian Coal FM
4499433.129,5292990.401,660,285,28,1,Lower Chattian Coal FM
4483327.407,5292417.898,743.0467067,175,51,1,Lower Chattian Coal FM
4483297.5,5292444.003,743.7489079,172,47,1,Lower Chattian Coal FM
4483237.621,5292473.752,736.6899425,180,59,1,Lower Chattian Coal FM
4498859.797,5293105.35,757.0092616,224,29,1,Lower Chattian Coal FM
4499008.406,5293049.727,734.3534194,234,25,1,Lower Chattian Coal FM
4493268.966,5291206.196,727.0340327,169,35,-1,Lower Chattian Coal FM
4493268.924,5291170.95,727.023307,186,31,-1,Lower Chattian Coal FM
4493364.069,5291304.261,763.7801069,138,45,-1,Lower Chattian Coal FM
4490308.923,5292759.588,773.5583692,166,54,1,Lower Chattian Coal FM
4490257.841,5292824.496,770.3782401,161,49,1,Lower Chattian Coal FM
4490216.7,5292872.821,766.2244561,163,52,1,Lower Chattian Coal FM
4490220.729,5293037.702,757.869412,172,54,1,Lower Chattian Coal FM
4490225.845,5293093.287,747.3965496,165,58,1,Lower Chattian Coal FM
4490297.327,5293259.944,746.1948117,165,51,1,Lower Chattian Coal FM
4483827.5,5293384,702.5,170,85,1,Muehlau_Thrust
4491557.5,5294749.5,700.4,165,78,1,Muehlau_Thrust
4495756,5294947,635.5,180,69,1,Muehlau_Thrust
4496665,5294929.5,600.9,185,66,1,Muehlau_Thrust
