X,Y,Z,azimuth,dip,polarity,formation
707171.048,5292554.117,823.3395638,21,20,1,Lower Bunte Molasse
708600.0869,5292531.139,820,0,45,1,Lower Bunte Molasse
697520.4174,5292525.168,730,5,50,1,Lower Bunte Molasse
707211.5056,5292505.491,827.2762013,3,31,1,Lower Bunte Molasse
698947.1151,5292490.505,800,0,52,1,Lower Bunte Molasse
698474.8687,5292477.992,775,350,48,1,Lower Bunte Molasse
706923.769,5292472.961,821.7939165,355,30,1,Lower Bunte Molasse
699685.736,5292430.561,830,345,57,1,Lower Bunte Molasse
697359.2698,5292375.045,720,350,47,1,Lower Bunte Molasse
709089.2083,5292354.031,810,0,90,1,Lower Bunte Molasse
702049.4479,5292353.011,850,5,53,1,Lower Bunte Molasse
692606.1992,5292305.986,685,25,70,1,Lower Chattian Coal FM
692868.9931,5292186.781,695,20,72,1,Lower Chattian Coal FM
698364.2204,5292168.241,805,0,60,1,Lower Bunte Molasse
696982.4692,5292165.639,750,10,56,1,Lower Bunte Molasse
698254.4596,5292121.875,800,0,62,1,Lower Bunte Molasse
697475.1662,5292091.5,750,10,80,1,Lower Bunte Molasse
692772.5346,5292005.569,680,190,83,-1,Baustein Beds
691670.1712,5291876.354,655,190,73,-1,Baustein Beds
697942.7591,5291766.324,855,10,70,1,Lower Chattian Coal FM
698439.3872,5291725.776,870,0,66,1,Lower Chattian Coal FM
702596.2506,5291628.401,815,20,64,1,Lower Chattian Coal FM
699289.7512,5291617.753,845,10,63,1,Baustein Beds
698267.3701,5291599.399,800,5,65,1,Baustein Beds
698634.4376,5291580.362,810,0,70,1,Baustein Beds
701064.7991,5291571.432,830,15,62,1,Baustein Beds
698885.0131,5291566.698,840,5,60,1,Baustein Beds
699087.7077,5291054.506,810.1,340,88,-1,Helvetics_Base_Thrust
688766.98,5290522.122,836.8,185,88,1,Helvetics_Base_Thrust
